"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Shoe cards show price","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","shoeCardsShowPrice"
"","1211","expiryAndCvvAcceptInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","expiryAndCvvAcceptInput"
"","1147","upiIdFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","upiIdFieldAcceptsInput"
"","1257","Proceed to Checkout navigates to payment page","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","checkoutNavigatesToPayment"
"","138","No results message when search has no match","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","noResultsMessageWhenNoMatch"
"","33","Orders page accessible after login","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersPageAccessibleAfterLogin"
"","51","Orders list container exists","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","ordersListContainerExists"
"","78","longAddressAccepted","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","longAddressAccepted"
"","44","Empty state message is user-friendly","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","emptyStateMessageUserFriendly"
"","158","Cart page shows added item after adding from product","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","cartShowsAddedItem"
"","5","checkoutPageTitleCorrect","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","checkoutPageTitleCorrect"
"","1204","multipleUpiEntriesAllowed","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","multipleUpiEntriesAllowed"
"","136","Add to cart from product page increases cart count","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","addToCartIncreasesCount"
"","1091","upiFieldsVisibleOnSelection","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.PaymentProcessingTests","Payment Processing","com.example.PaymentProcessingTests","upiFieldsVisibleOnSelection"
"","29","Cart page title is correct","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","cartPageTitleCorrect"
"","131","passwordFieldAcceptsInput","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","passwordFieldAcceptsInput"
"","288","switchingModesMultipleTimesWorks","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","switchingModesMultipleTimesWorks"
"","29","loginPageUrlValid","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","loginPageUrlValid"
"","109","emptySubmitDoesNotCrash","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","emptySubmitDoesNotCrash"
"","1091","upiTabShowsUpiField","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","upiTabShowsUpiField"
"","104","submitButtonClickable","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.LoginRegistrationTests","Login and Registration","com.example.LoginRegistrationTests","submitButtonClickable"
"","29","checkoutHasBillingSection","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","checkoutHasBillingSection"
"","236","Multiple items in cart show correct count","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.CartManagementTests","Cart Management","com.example.CartManagementTests","multipleItemsShowCorrectCount"
"","46","New user sees empty orders message","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","newUserSeesEmptyOrders"
"","20","orderTotalDisplayedOnCheckout","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderPlacementTests","Order Placement","com.example.OrderPlacementTests","orderTotalDisplayedOnCheckout"
"","174","Search by name filters results","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","searchByNameFiltersResults"
"","39","Start Shopping link present when no orders","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.OrderHistoryTrackingTests","Order History and Tracking","com.example.OrderHistoryTrackingTests","startShoppingLinkPresent"
"","44","Search input has correct placeholder","KICKS Shoes Store Test Suite","2026-02-23","passed","2026-02-23","com.example.ProductSearchListingTests","Product Search and Listing","com.example.ProductSearchListingTests","searchInputHasPlaceholder"
